"date"""mine_id"""total_tons_extracted"""avg_quality_grade"""shifts_count"""quality_score"""anomaly_flag"""processed_timestamp"
2025-06-01"1"778.76"4.65"2"Good"false"2025-08-03 18:40:41
2025-06-01"2"540.86"4.25"2"Good"false"2025-08-03 18:40:41
2025-06-01"3"586.27"4.8"2"Good"false"2025-08-03 18:40:41
2025-06-02"1"530.53"5.65"2"Excellent"false"2025-08-03 18:40:41
2025-06-02"2"783.49"4.65"2"Good"false"2025-08-03 18:40:41
2025-06-02"3"634.0899999999999"4.55"2"Good"false"2025-08-03 18:40:41
2025-06-03"1"622.0699999999999"3.75"2"Fair"false"2025-08-03 18:40:41
2025-06-03"2"841.97"4.75"2"Good"false"2025-08-03 18:40:41
2025-06-03"3"488.09"4.75"2"Good"false"2025-08-03 18:40:41
2025-06-04"1"811.37"4.2"2"Good"false"2025-08-03 18:40:41
2025-06-04"2"815.48"4.1"2"Good"false"2025-08-03 18:40:41
2025-06-04"3"587.0799999999999"5.25"2"Excellent"false"2025-08-03 18:40:41
2025-06-05"1"672.52"4.449999999999999"2"Good"false"2025-08-03 18:40:41
2025-06-05"2"144.55"5.4"2"Excellent"true"2025-08-03 18:40:41
2025-06-05"3"172.53"4.45"2"Good"true"2025-08-03 18:40:41
2025-06-06"1"790.99"4.25"2"Good"false"2025-08-03 18:40:41
2025-06-06"2"882.6400000000001"5.4"2"Excellent"false"2025-08-03 18:40:41
2025-06-06"3"856.0999999999999"4.6"2"Good"false"2025-08-03 18:40:41
2025-06-07"1"455.83"4.449999999999999"2"Good"false"2025-08-03 18:40:41
2025-06-07"2"682.51"3.95"2"Fair"false"2025-08-03 18:40:41
2025-06-07"3"540.29"4.5"2"Good"false"2025-08-03 18:40:41
2025-06-08"1"360.61"4.6"2"Good"false"2025-08-03 18:40:41
2025-06-08"2"363.67"4.45"2"Good"true"2025-08-03 18:40:41
2025-06-08"3"326.91"4.6"2"Good"false"2025-08-03 18:40:41
2025-06-09"1"618.8299999999999"4.5"2"Good"false"2025-08-03 18:40:41
2025-06-09"2"794.62"4.05"2"Good"false"2025-08-03 18:40:41
2025-06-09"3"548.6"4.45"2"Good"false"2025-08-03 18:40:41
2025-06-10"1"610.5500000000001"4.95"2"Good"false"2025-08-03 18:40:41
2025-06-10"2"393.25"5.15"2"Excellent"false"2025-08-03 18:40:41
2025-06-10"3"616.76"4.800000000000001"2"Good"false"2025-08-03 18:40:41
2025-06-11"1"542.38"5.1"2"Excellent"false"2025-08-03 18:40:41
2025-06-11"2"509.78"5.3"2"Excellent"false"2025-08-03 18:40:41
2025-06-11"3"806.04"5.15"2"Excellent"false"2025-08-03 18:40:41
2025-06-12"1"649.01"3.7"2"Fair"false"2025-08-03 18:40:41
2025-06-12"2"594.43"4.800000000000001"2"Good"false"2025-08-03 18:40:41
2025-06-12"3"685.2"4.05"2"Good"false"2025-08-03 18:40:41
2025-06-13"1"777.39"5.15"2"Excellent"false"2025-08-03 18:40:41
2025-06-13"2"823.02"4.449999999999999"2"Good"false"2025-08-03 18:40:41
2025-06-13"3"427.84000000000003"3.45"2"Fair"false"2025-08-03 18:40:41
2025-06-14"1"642.25"3.8000000000000003"2"Fair"false"2025-08-03 18:40:41
2025-06-14"2"122.71"4.800000000000001"2"Good"true"2025-08-03 18:40:41
2025-06-14"3"736.78"4.15"2"Good"false"2025-08-03 18:40:41
2025-06-15"1"576.83"4.2"2"Good"false"2025-08-03 18:40:41
2025-06-15"2"355.53"3.5"2"Fair"true"2025-08-03 18:40:41
2025-06-15"3"482.63"3.35"2"Fair"false"2025-08-03 18:40:41
