"date"""mine_id"""mine_name"""production_tons"""quality_grade"""performance_rank"""efficiency_score"""weather_correlation"""processed_timestamp"
2025-06-01"1"Bukit Bara"778.76"4.65"1"85.01"0.0"2025-08-03 18:40:54
2025-06-01"2"Gunung Hitam"540.86"4.25"3"64.14"0.0"2025-08-03 18:40:54
2025-06-01"3"Sumber Jaya"586.27"4.8"2"70.5"0.0"2025-08-03 18:40:54
2025-06-02"1"Bukit Bara"530.53"5.65"3"70.33"0.0"2025-08-03 18:40:54
2025-06-02"2"Gunung Hitam"783.49"4.65"1"85.39"0.0"2025-08-03 18:40:54
2025-06-02"3"Sumber Jaya"634.0899999999999"4.55"2"73.04"0.0"2025-08-03 18:40:54
2025-06-03"1"Bukit Bara"622.0699999999999"3.75"2"68.08"0.0"2025-08-03 18:40:54
2025-06-03"2"Gunung Hitam"841.97"4.75"1"90.52"0.0"2025-08-03 18:40:54
2025-06-03"3"Sumber Jaya"488.09"4.75"3"62.46"0.0"2025-08-03 18:40:54
2025-06-04"1"Bukit Bara"811.37"4.2"1"85.35"0.0"2025-08-03 18:40:54
2025-06-04"2"Gunung Hitam"815.48"4.1"2"85.17"0.0"2025-08-03 18:40:54
2025-06-04"3"Sumber Jaya"587.0799999999999"5.25"3"72.81"0.0"2025-08-03 18:40:54
2025-06-05"1"Bukit Bara"672.52"4.449999999999999"1"75.59"0.0"2025-08-03 18:40:54
2025-06-05"2"Gunung Hitam"144.55"5.4"2"30.77"0.0"2025-08-03 18:40:54
2025-06-05"3"Sumber Jaya"172.53"4.45"3"28.75"0.0"2025-08-03 18:40:54
2025-06-06"1"Bukit Bara"790.99"4.25"3"83.98"0.0"2025-08-03 18:40:54
2025-06-06"2"Gunung Hitam"882.6400000000001"5.4"1"97.0"0.0"2025-08-03 18:40:54
2025-06-06"3"Sumber Jaya"856.0999999999999"4.6"2"90.9"0.0"2025-08-03 18:40:54
2025-06-07"1"Bukit Bara"455.83"4.449999999999999"3"58.4"0.0"2025-08-03 18:40:54
2025-06-07"2"Gunung Hitam"682.51"3.95"1"73.88"0.0"2025-08-03 18:40:54
2025-06-07"3"Sumber Jaya"540.29"4.5"2"65.35"0.0"2025-08-03 18:40:54
2025-06-08"1"Bukit Bara"360.61"4.6"1"51.6"0.0"2025-08-03 18:40:54
2025-06-08"2"Gunung Hitam"363.67"4.45"3"40.87"0.0"2025-08-03 18:40:54
2025-06-08"3"Sumber Jaya"326.91"4.6"2"48.93"0.0"2025-08-03 18:40:54
2025-06-09"1"Bukit Bara"618.8299999999999"4.5"2"71.58"0.0"2025-08-03 18:40:54
2025-06-09"2"Gunung Hitam"794.62"4.05"1"83.27"0.0"2025-08-03 18:40:54
2025-06-09"3"Sumber Jaya"548.6"4.45"3"65.76"0.0"2025-08-03 18:40:54
2025-06-10"1"Bukit Bara"610.5500000000001"4.95"1"73.17"0.0"2025-08-03 18:40:54
2025-06-10"2"Gunung Hitam"393.25"5.15"3"56.94"0.0"2025-08-03 18:40:54
2025-06-10"3"Sumber Jaya"616.76"4.800000000000001"2"72.91"0.0"2025-08-03 18:40:54
2025-06-11"1"Bukit Bara"542.38"5.1"2"68.51"0.0"2025-08-03 18:40:54
2025-06-11"2"Gunung Hitam"509.78"5.3"3"66.93"0.0"2025-08-03 18:40:54
2025-06-11"3"Sumber Jaya"806.04"5.15"1"89.68"0.0"2025-08-03 18:40:54
2025-06-12"1"Bukit Bara"649.01"3.7"3"69.97"0.0"2025-08-03 18:40:54
2025-06-12"2"Gunung Hitam"594.43"4.800000000000001"2"71.14"0.0"2025-08-03 18:40:54
2025-06-12"3"Sumber Jaya"685.2"4.05"1"74.59"0.0"2025-08-03 18:40:54
2025-06-13"1"Bukit Bara"777.39"5.15"2"87.4"0.0"2025-08-03 18:40:54
2025-06-13"2"Gunung Hitam"823.02"4.449999999999999"1"87.52"0.0"2025-08-03 18:40:54
2025-06-13"3"Sumber Jaya"427.84000000000003"3.45"3"51.18"0.0"2025-08-03 18:40:54
2025-06-14"1"Bukit Bara"642.25"3.8000000000000003"2"69.94"0.0"2025-08-03 18:40:54
2025-06-14"2"Gunung Hitam"122.71"4.800000000000001"3"26.99"0.0"2025-08-03 18:40:54
2025-06-14"3"Sumber Jaya"736.78"4.15"1"79.18"0.0"2025-08-03 18:40:54
2025-06-15"1"Bukit Bara"576.83"4.2"1"66.75"0.0"2025-08-03 18:40:54
2025-06-15"2"Gunung Hitam"355.53"3.5"3"36.56"0.0"2025-08-03 18:40:54
2025-06-15"3"Sumber Jaya"482.63"3.35"2"55.03"0.0"2025-08-03 18:40:54
2025-06-16"1"Bukit Bara"743.49"4.3"1"80.46"0.0"2025-08-03 18:40:54
2025-06-16"2"Gunung Hitam"303.38"5.45"3"51.31"0.0"2025-08-03 18:40:54
2025-06-16"3"Sumber Jaya"414.16999999999996"5.3"2"59.35"0.0"2025-08-03 18:40:54
2025-06-17"1"Bukit Bara"547.09"5.9"2"72.89"0.0"2025-08-03 18:40:54
2025-06-17"2"Gunung Hitam"725.23"4.800000000000001"1"81.52"0.0"2025-08-03 18:40:54
2025-06-17"3"Sumber Jaya"448.37"5.55"3"63.31"0.0"2025-08-03 18:40:54
2025-06-18"1"Bukit Bara"745.6400000000001"4.9"2"83.63"0.0"2025-08-03 18:40:54
2025-06-18"2"Gunung Hitam"858.4100000000001"4.3"1"89.58"0.0"2025-08-03 18:40:54
2025-06-18"3"Sumber Jaya"665.75"4.25"3"74.05"0.0"2025-08-03 18:40:54
2025-06-19"1"Bukit Bara"766.25"5.3"1"87.27"0.0"2025-08-03 18:40:54
2025-06-19"2"Gunung Hitam"740.81"4.9"2"83.25"0.0"2025-08-03 18:40:54
2025-06-19"3"Sumber Jaya"415.07"4.199999999999999"3"53.92"0.0"2025-08-03 18:40:54
2025-06-20"1"Bukit Bara"291.75"5.199999999999999"2"49.14"0.0"2025-08-03 18:40:54
2025-06-20"2"Gunung Hitam"360.14"4.9"1"53.06"0.0"2025-08-03 18:40:54
2025-06-20"3"Sumber Jaya"325.41"5.2"3"41.45"0.0"2025-08-03 18:40:54
2025-06-21"1"Bukit Bara"531.9"4.9"2"66.68"0.0"2025-08-03 18:40:54
